TimeStep,TECH,BANK,PHARM,AUTO,OIL
0,150.0,80.0,120.0,60.0,40.0
1,148.8798376041273,80.34153383958454,115.92502560225779,60.42175182497134,39.583683860593254
2,148.8973063187812,78.40594149403547,120.41894947953871,58.38029225749135,40.77239456122252
3,144.53048097192374,76.82414675794149,120.45222510520328,59.61508582577834,40.33855355568059
4,147.1919028655121,77.31750363085462,118.04218874444737,58.50065273340752,38.099185412113435
5,148.76961419523207,76.51401918893164,123.32086565037109,58.70113844929856,38.3806897178944
6,148.68783806081072,77.17868826544752,122.54661347561772,57.37864723570227,37.94961968455435
7,148.0296958644927,76.62022217317833,120.68962696487421,57.499560230496066,38.39328082179794
8,153.8684300709298,74.84470960630698,124.72445532292635,59.169550002656564,39.385767864664665
9,145.92880625579102,73.92780340311624,121.18697626055479,61.195448282974155,37.39442388381566
10,151.03219684871252,73.16916351004151,123.69754515678004,61.08812075840983,35.78109273183349
11,152.7334042075998,69.46929188145116,121.0366173028368,60.458073244870604,36.88035713971361
12,150.60449001515403,68.55393248508587,113.06771341445193,59.90889930074285,36.25800564528471
13,148.79638511085318,68.63668062803173,111.38424743182395,59.636078453798305,35.389610260783336
14,148.02874103680685,68.34452822366836,108.68570535419335,61.80289187052513,36.247240428057395
15,150.8492902895587,67.61045142720712,108.0641118216016,62.28344244150338,35.41550841783482
16,148.10529781814975,66.37532988385544,104.01549612881144,61.65366093796637,37.210794988498314
17,145.40122297959851,66.19706345087675,102.90321439339507,62.91254475598705,36.552326767312124
18,141.0088633651325,64.61772081172892,105.6880458005492,64.48743667738059,37.812872657496214
19,139.41279508155526,64.00489000331491,107.87673274068246,62.51353659570354,37.374200654909615
20,141.30826164217436,65.56123244933613,101.2596828377163,60.09029976211055,36.5151530411216
21,140.21094664249466,66.99961168812817,100.34608940775186,60.43888727104828,32.544714967192085
22,136.46650175567254,66.47605427726053,96.60657013638078,62.998086110409886,32.6813751201048
23,141.28002243616376,65.62327566714515,102.02997290629116,59.50732257722112,34.108995024496636
24,144.94698187434946,65.32121707195695,97.96877679493268,57.90481200571121,34.268465581245486
25,147.93832662107255,65.13074554029285,95.76487661533085,55.683228326344675,34.712703840876614
26,149.9638084652257,67.00688110739019,97.25383786125393,56.22952271156404,33.26099834027782
27,153.1817144000158,67.15073987080754,98.72237456052615,54.58752890731012,33.88442346627027
28,151.05219115407897,68.21315060183224,95.54158042456147,53.31954274218631,34.15742843669866
29,154.8161446406746,67.00180024493685,101.99545434715603,56.11830401305915,33.761339239317415
30,161.34448950995727,68.69786598861596,92.69955813336072,56.439194832123604,33.44872976873144
31,162.43244479139508,69.96085963325856,95.25629767349959,55.85389755534074,35.99884089745257
32,160.9323959480199,69.573746429004,91.48819934615605,54.21690702358573,35.42189954615143
33,161.08810418966925,67.8080916352263,90.29738884617586,55.40360065525768,36.0502813485088
34,163.5878974313354,66.22634042894643,91.48446591689225,55.49915541867844,34.682173295657535
35,169.57781747140945,65.7681288703722,90.14363981492754,54.64828384656732,34.1655093320779
36,169.05404282021482,65.03729203925384,89.64394304781243,51.48495369062861,35.25819590664056
37,166.02088266141425,62.795947950094,86.05709601077001,53.91573866783905,35.72719770905546
38,158.2676728840927,63.97674581134095,89.69336226656894,51.836242601295666,36.98783104431723
39,152.1512715772195,64.43615806849716,90.27194971023144,52.096598827019314,36.91584724313424
40,148.9116230914769,65.77222386735649,90.18047840242765,53.900513831745194,37.98914999062276
41,151.28662277918184,66.3833965440987,84.41338950620698,53.56156276415871,39.86281247414921
42,153.97254724621567,67.18197187790571,78.67536713104363,52.04452989628156,40.73037063376134
43,151.26828992705165,66.58113441733478,80.61919230413159,53.08595062986719,41.96561537210503
44,154.10799953413425,64.69419240418588,83.42046834703721,51.40699184772652,41.45024090158948
45,148.42479899398413,64.15884034801734,81.44954945164712,52.5822268114252,42.32245279347795
46,150.55722031032514,65.3621251274398,83.06376590283794,55.59955471447263,43.683839766876474
47,149.77916131629203,63.95961840442104,84.65735380034836,56.13955520920115,43.396219366689294
48,146.61661120982714,62.511143914135694,88.15551762394638,56.12855034885857,42.76830393855994
49,142.37264426831976,61.23650608976718,91.08820652158525,54.532944249821426,41.34396800276697
50,145.69157908459928,60.90599511662573,95.24509699204839,54.68911380150764,41.76760440797185
51,143.20361413309848,59.40381599105937,97.47444954786747,54.20113565485861,41.36746358638641
52,148.54442234099392,61.61748761656793,98.83566530178089,53.64787329676754,41.84861335808616
53,141.54346857977959,60.35613339826136,93.65266012531055,55.55173434320914,43.1983133268782
54,144.91811020965665,58.224942537347566,93.04806988543342,55.13952261680886,45.4765011945249
55,140.2359182720778,56.82660684212613,93.97151620216574,54.22824893674644,43.95495246978074
56,140.54950060527761,57.4476198658398,91.94148516942879,52.57682673461088,46.82515300397992
57,142.98594845600167,57.37029317069441,90.8530543551445,51.21479493428705,48.17557575739095
58,150.11549588444413,56.175062578847246,94.13786405941853,48.055345939316354,49.475385454261236
59,152.01977076160102,56.133453288211555,95.76647718662528,49.44281112041124,48.40273955176627
60,149.36998582213081,54.26048149619263,100.004243590175,49.540257340941174,46.84109620745464
61,150.21302158562997,53.02859404985054,98.5400063023384,47.248559104102235,47.27856458122512
62,150.74347941640553,52.57178145484675,103.11745431082892,46.483587589552805,44.33692102505441
63,149.73507928638935,52.198155892203665,105.4486202950263,46.86634307900938,46.13952560077638
64,154.10586189268201,53.067813622571826,101.71386548292453,46.428610163926265,47.5693120228958
65,157.83336572532951,52.96306167765918,102.57577873373646,46.21231469447134,48.08990149395963
